epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.177,1.92726,4.11976,1.3235,0.00333,0.91304,0.46978,0.20753,1.66097,3.98519,1.20269,0.00018,0.00018,0.00018
2,238.489,1.80735,2.58693,1.2288,0.00357,0.97826,0.51652,0.20084,1.52205,3.84917,1.13875,0.000372476,0.000372476,0.000372476
3,347.322,1.7015,2.34985,1.29433,0.00341,0.93478,0.30749,0.10724,1.49072,3.96368,1.2381,0.000557032,0.000557032,0.000557032
4,463.078,1.81519,2.4783,1.49215,0.00357,0.97826,0.02679,0.00786,1.56774,4.0391,1.26173,0.000733668,0.000733668,0.000733668
5,581.649,1.67304,2.2374,1.3177,0.00978,0.3913,0.11417,0.03306,1.6002,3.75763,1.31614,0.000902384,0.000902384,0.000902384
6,693.402,1.82196,2.19854,1.49088,0.00349,0.95652,0.42091,0.19167,1.70879,3.51132,1.44311,0.00106318,0.00106318,0.00106318
7,803.662,1.81704,2.55963,1.45687,0.13037,0.71739,0.38887,0.13451,1.91413,3.30353,1.57377,0.00121606,0.00121606,0.00121606
8,908.478,1.77985,2.07935,1.33901,0.69294,0.45652,0.56971,0.2543,1.84733,2.86679,1.70432,0.00136101,0.00136101,0.00136101
9,1012.28,1.73734,2.01053,1.32756,0.63968,0.63043,0.67771,0.2947,1.76736,2.41303,1.62393,0.00149805,0.00149805,0.00149805
10,1141.75,1.78515,1.91389,1.42818,0.8153,0.78261,0.81052,0.35417,1.75666,2.18102,1.46118,0.00162716,0.00162716,0.00162716
11,1255.46,1.66452,1.72641,1.32799,0.68725,0.76087,0.7253,0.30781,1.79636,2.26366,1.59021,0.001604,0.001604,0.001604
12,1363.26,1.6777,1.67452,1.37578,0.53368,0.64695,0.67719,0.29556,1.78952,2.50571,1.64138,0.0015644,0.0015644,0.0015644
13,1475.43,1.7057,1.77756,1.41792,0.92277,0.5196,0.67154,0.26228,2.01633,2.63095,1.68414,0.0015248,0.0015248,0.0015248
14,1586.59,1.64591,1.58265,1.33003,0.66908,0.71739,0.7522,0.31787,1.78072,2.01223,1.71446,0.0014852,0.0014852,0.0014852
15,1692.17,1.67433,1.62796,1.38551,0.81413,0.80435,0.8546,0.40358,1.76614,1.65305,1.63683,0.0014456,0.0014456,0.0014456
16,1799.31,1.68293,1.56327,1.41187,0.8394,0.7955,0.84784,0.40353,1.69835,1.56108,1.55194,0.001406,0.001406,0.001406
17,1907.29,1.58725,1.3937,1.27697,0.81699,0.80435,0.8531,0.41848,1.66098,1.50066,1.44061,0.0013664,0.0013664,0.0013664
18,2013.49,1.57493,1.4696,1.3187,0.8502,0.78261,0.82506,0.37457,1.79085,1.56381,1.59577,0.0013268,0.0013268,0.0013268
19,2121.19,1.67089,1.45641,1.43059,0.77211,0.81028,0.85954,0.40413,1.76714,1.61736,1.53876,0.0012872,0.0012872,0.0012872
20,2229.1,1.68804,1.41278,1.43048,0.81165,0.84783,0.88329,0.42075,1.74839,1.56763,1.50077,0.0012476,0.0012476,0.0012476
21,2335.26,1.52058,1.28129,1.28636,0.73823,0.82609,0.82935,0.39361,1.66149,1.62598,1.4517,0.001208,0.001208,0.001208
22,2441.19,1.58736,1.30275,1.3465,0.78282,0.86957,0.84137,0.35517,1.83131,1.52763,1.49068,0.0011684,0.0011684,0.0011684
23,2547,1.68948,1.31693,1.34347,0.81088,0.86957,0.90363,0.43632,1.58908,1.40322,1.39266,0.0011288,0.0011288,0.0011288
24,2649.68,1.58712,1.25832,1.31004,0.76207,0.84783,0.87767,0.43997,1.51961,1.41226,1.30156,0.0010892,0.0010892,0.0010892
25,2765.37,1.4251,1.17003,1.19609,0.80383,0.80435,0.89205,0.44875,1.58613,1.43226,1.35135,0.0010496,0.0010496,0.0010496
26,2868.53,1.41966,1.18345,1.1942,0.87869,0.73913,0.87822,0.44794,1.62895,1.30673,1.3701,0.00101,0.00101,0.00101
27,2971.29,1.50605,1.11833,1.23314,0.76392,0.8442,0.85447,0.44655,1.60152,1.33318,1.3848,0.0009704,0.0009704,0.0009704
