epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.107,2.10802,4.30837,1.39335,0.00313,0.97872,0.49843,0.14491,1.81617,4.23905,1.22898,0.0002,0.0002,0.0002
2,301.408,1.84121,2.78264,1.28404,0.00313,0.97872,0.64262,0.24422,1.54778,3.96157,1.14861,0.000411684,0.000411684,0.000411684
3,434.257,1.74108,2.49107,1.31956,0.00313,0.97872,0.05929,0.01783,1.57684,4.07999,1.19791,0.000614656,0.000614656,0.000614656
4,565.291,1.76038,2.49492,1.31561,0.00279,0.87234,0.00732,0.0025,1.59365,4.04547,1.27777,0.000808916,0.000808916,0.000808916
5,707.542,1.81954,2.38999,1.42259,0.0032,1,0.20374,0.0691,1.64634,3.8076,1.36428,0.000994464,0.000994464,0.000994464
6,837.987,1.74563,2.24383,1.31093,0.85422,0.62349,0.76853,0.32185,1.80108,2.93637,1.45263,0.0011713,0.0011713,0.0011713
7,967.747,1.78265,2.17792,1.42178,0.7898,0.7234,0.77556,0.35465,1.62314,2.52245,1.44476,0.00133942,0.00133942,0.00133942
8,1098.56,1.78685,2.11393,1.39172,0.71276,0.65957,0.7791,0.3473,1.57609,2.46726,1.39891,0.00149884,0.00149884,0.00149884
9,1231.62,1.74065,2.01196,1.34988,0.77266,0.50631,0.76388,0.34069,1.58965,2.69856,1.37443,0.00164954,0.00164954,0.00164954
10,1362.41,1.76308,1.88533,1.4067,0.24336,0.68085,0.23435,0.10658,1.70391,7.62995,1.43045,0.0016436,0.0016436,0.0016436
11,1499.49,1.63886,1.87854,1.34194,0.61668,0.82979,0.64026,0.2769,1.74136,2.10627,1.46442,0.001604,0.001604,0.001604
12,1626.49,1.69998,1.74197,1.39644,0.7654,0.76596,0.80092,0.35949,1.85786,1.91256,1.5918,0.0015644,0.0015644,0.0015644
13,1758.74,1.66756,1.84971,1.41849,0.72467,0.72809,0.73968,0.39445,1.72178,1.87302,1.53004,0.0015248,0.0015248,0.0015248
14,1891.02,1.61518,1.62162,1.38246,0.93325,0.65957,0.84742,0.4461,1.66628,1.70487,1.52611,0.0014852,0.0014852,0.0014852
15,2023.03,1.63759,1.52277,1.35637,0.78917,0.82979,0.89086,0.46161,1.70871,1.61853,1.563,0.0014456,0.0014456,0.0014456
16,2150.81,1.5692,1.51993,1.27911,0.81247,0.80851,0.89829,0.42817,1.73106,1.66747,1.53866,0.001406,0.001406,0.001406
17,2285.25,1.58035,1.45191,1.31685,0.80523,0.89362,0.92178,0.45499,1.64381,1.58136,1.42892,0.0013664,0.0013664,0.0013664
18,2431.47,1.60002,1.39964,1.29827,0.86809,0.87234,0.91598,0.46118,1.59354,1.4094,1.36751,0.0013268,0.0013268,0.0013268
19,2571.82,1.63463,1.44142,1.34058,0.82436,0.80851,0.85935,0.46612,1.55149,1.49498,1.28212,0.0012872,0.0012872,0.0012872
